,image_path,labels,labels_norm
0,./data/densepose-out\07337701-processed\000053_IUV.png,53.457512212913436,2
1,./data/densepose-out\07337701-processed\000054_IUV.png,53.457512212913436,2
2,./data/densepose-out\07337701-processed\000055_IUV.png,53.457512212913436,2
3,./data/densepose-out\07337701-processed\000056_IUV.png,53.457512212913436,2
4,./data/densepose-out\07337701-processed\000057_IUV.png,53.457512212913436,2
5,./data/densepose-out\07337701-processed\000058_IUV.png,53.457512212913436,2
6,./data/densepose-out\07337701-processed\000059_IUV.png,53.457512212913436,2
7,./data/densepose-out\07337701-processed\000060_IUV.png,53.457512212913436,2
8,./data/densepose-out\07337701-processed\000061_IUV.png,53.457512212913436,2
9,./data/densepose-out\07337701-processed\000062_IUV.png,53.457512212913436,2
10,./data/densepose-out\07337701-processed\000063_IUV.png,53.457512212913436,2
11,./data/densepose-out\09917501-processed\000053_IUV.png,87.69442283522255,11
12,./data/densepose-out\09917501-processed\000054_IUV.png,87.69442283522255,11
13,./data/densepose-out\09917501-processed\000055_IUV.png,87.69442283522255,11
14,./data/densepose-out\09917501-processed\000056_IUV.png,87.69442283522255,11
15,./data/densepose-out\09917501-processed\000057_IUV.png,87.69442283522255,11
16,./data/densepose-out\09917501-processed\000058_IUV.png,87.69442283522255,11
17,./data/densepose-out\09917501-processed\000059_IUV.png,87.69442283522255,11
18,./data/densepose-out\09917501-processed\000060_IUV.png,87.69442283522255,11
19,./data/densepose-out\09917501-processed\000061_IUV.png,87.69442283522255,11
20,./data/densepose-out\09917501-processed\000062_IUV.png,87.69442283522255,11
21,./data/densepose-out\09917501-processed\000063_IUV.png,87.69442283522255,11
22,./data/densepose-out\10576905-processed\000053_IUV.png,62.14180192726621,5
23,./data/densepose-out\10576905-processed\000054_IUV.png,62.14180192726621,5
24,./data/densepose-out\10576905-processed\000055_IUV.png,62.14180192726621,5
25,./data/densepose-out\10576905-processed\000056_IUV.png,62.14180192726621,5
26,./data/densepose-out\10576905-processed\000057_IUV.png,62.14180192726621,5
27,./data/densepose-out\10576905-processed\000058_IUV.png,62.14180192726621,5
28,./data/densepose-out\10576905-processed\000059_IUV.png,62.14180192726621,5
29,./data/densepose-out\10576905-processed\000060_IUV.png,62.14180192726621,5
30,./data/densepose-out\10576905-processed\000061_IUV.png,62.14180192726621,5
31,./data/densepose-out\10576905-processed\000062_IUV.png,62.14180192726621,5
32,./data/densepose-out\10576905-processed\000063_IUV.png,62.14180192726621,5
33,./data/densepose-out\11030404-processed\000053_IUV.png,73.25523767440694,7
34,./data/densepose-out\11030404-processed\000054_IUV.png,73.25523767440694,7
35,./data/densepose-out\11030404-processed\000055_IUV.png,73.25523767440694,7
36,./data/densepose-out\11030404-processed\000056_IUV.png,73.25523767440694,7
37,./data/densepose-out\11030404-processed\000057_IUV.png,73.25523767440694,7
38,./data/densepose-out\11030404-processed\000058_IUV.png,73.25523767440694,7
39,./data/densepose-out\11030404-processed\000059_IUV.png,73.25523767440694,7
40,./data/densepose-out\11030404-processed\000060_IUV.png,73.25523767440694,7
41,./data/densepose-out\11030404-processed\000061_IUV.png,73.25523767440694,7
42,./data/densepose-out\11030404-processed\000062_IUV.png,73.25523767440694,7
43,./data/densepose-out\11030404-processed\000063_IUV.png,73.25523767440694,7
44,./data/densepose-out\11741603-processed\000053_IUV.png,80.44922366806699,9
45,./data/densepose-out\11741603-processed\000054_IUV.png,80.44922366806699,9
46,./data/densepose-out\11741603-processed\000055_IUV.png,80.44922366806699,9
47,./data/densepose-out\11741603-processed\000056_IUV.png,80.44922366806699,9
48,./data/densepose-out\11741603-processed\000057_IUV.png,80.44922366806699,9
49,./data/densepose-out\11741603-processed\000058_IUV.png,80.44922366806699,9
50,./data/densepose-out\11741603-processed\000059_IUV.png,80.44922366806699,9
51,./data/densepose-out\11741603-processed\000060_IUV.png,80.44922366806699,9
52,./data/densepose-out\11741603-processed\000061_IUV.png,80.44922366806699,9
53,./data/densepose-out\11741603-processed\000062_IUV.png,80.44922366806699,9
54,./data/densepose-out\11741603-processed\000063_IUV.png,80.44922366806699,9
55,./data/densepose-out\11790507-processed\000053_IUV.png,84.74102379560351,10
56,./data/densepose-out\11790507-processed\000054_IUV.png,84.74102379560351,10
57,./data/densepose-out\11790507-processed\000055_IUV.png,84.74102379560351,10
58,./data/densepose-out\11790507-processed\000056_IUV.png,84.74102379560351,10
59,./data/densepose-out\11790507-processed\000057_IUV.png,84.74102379560351,10
60,./data/densepose-out\11790507-processed\000058_IUV.png,84.74102379560351,10
61,./data/densepose-out\11790507-processed\000059_IUV.png,84.74102379560351,10
62,./data/densepose-out\11790507-processed\000060_IUV.png,84.74102379560351,10
63,./data/densepose-out\11790507-processed\000061_IUV.png,84.74102379560351,10
64,./data/densepose-out\11790507-processed\000062_IUV.png,84.74102379560351,10
65,./data/densepose-out\11790507-processed\000063_IUV.png,84.74102379560351,10
66,./data/densepose-out\11991803-processed\000053_IUV.png,71.6790492593985,7
67,./data/densepose-out\11991803-processed\000054_IUV.png,71.6790492593985,7
68,./data/densepose-out\11991803-processed\000055_IUV.png,71.6790492593985,7
69,./data/densepose-out\11991803-processed\000056_IUV.png,71.6790492593985,7
70,./data/densepose-out\11991803-processed\000057_IUV.png,71.6790492593985,7
71,./data/densepose-out\11991803-processed\000058_IUV.png,71.6790492593985,7
72,./data/densepose-out\11991803-processed\000059_IUV.png,71.6790492593985,7
73,./data/densepose-out\11991803-processed\000060_IUV.png,71.6790492593985,7
74,./data/densepose-out\11991803-processed\000061_IUV.png,71.6790492593985,7
75,./data/densepose-out\11991803-processed\000062_IUV.png,71.6790492593985,7
76,./data/densepose-out\11991803-processed\000063_IUV.png,71.6790492593985,7
77,./data/densepose-out\12021007-processed\000053_IUV.png,84.74885751425,10
78,./data/densepose-out\12021007-processed\000054_IUV.png,84.74885751425,10
79,./data/densepose-out\12021007-processed\000055_IUV.png,84.74885751425,10
80,./data/densepose-out\12021007-processed\000056_IUV.png,84.74885751425,10
81,./data/densepose-out\12021007-processed\000057_IUV.png,84.74885751425,10
82,./data/densepose-out\12021007-processed\000058_IUV.png,84.74885751425,10
83,./data/densepose-out\12021007-processed\000059_IUV.png,84.74885751425,10
84,./data/densepose-out\12021007-processed\000060_IUV.png,84.74885751425,10
